i=0; b,a->ab; size_dict={'a': 2, 'b': 2};
i=1; ba,ba->a; size_dict={'a': 2, 'b': 2};
i=2; a,a->; size_dict={'a': 4};
i=3; ,ba->a; size_dict={'a': 2, 'b': 2};
i=4; a,->a; size_dict={'a': 4};
i=5; a,a->a; size_dict={'a': 4};
i=6; ab,ba->; size_dict={'a': 2, 'b': 2};
i=7; b,a->ba; size_dict={'a': 2, 'b': 2};
i=8; ab,->ba; size_dict={'a': 2, 'b': 2};
i=9; ab,a->; size_dict={'a': 2, 'b': 2};
i=10; a,->; size_dict={'a': 4};
i=11; ab,a->ab; size_dict={'a': 2, 'b': 2};
i=12; a,b->ba; size_dict={'a': 2, 'b': 2};
i=13; ,a->a; size_dict={'a': 4};
i=14; ab,ab->ab; size_dict={'a': 2, 'b': 2};
i=15; a,ba->b; size_dict={'a': 2, 'b': 2};
i=16; ,aa->a; size_dict={'a': 4};
i=17; ba,b->a; size_dict={'a': 2, 'b': 2};
i=18; ab,bba->a; size_dict={'a': 2, 'b': 2};
i=19; a,ab->b; size_dict={'a': 2, 'b': 2};
i=20; ,bba->a; size_dict={'a': 2, 'b': 2};
i=21; ba,ba->; size_dict={'a': 2, 'b': 2};
i=22; aa,b->ab; size_dict={'a': 2, 'b': 2};
i=23; ab,ab->; size_dict={'a': 2, 'b': 2};
i=24; ab,a->b; size_dict={'a': 2, 'b': 2};
i=25; b,ab->a; size_dict={'a': 2, 'b': 2};
i=26; b,ab->ba; size_dict={'a': 2, 'b': 2};
i=27; ab,ba->a; size_dict={'a': 2, 'b': 2};
i=28; a,ba->a; size_dict={'a': 2, 'b': 2};
i=29; ,ab->ba; size_dict={'a': 2, 'b': 2};
i=30; ba,->ba; size_dict={'a': 2, 'b': 2};
i=31; ab,b->a; size_dict={'a': 2, 'b': 2};
i=32; a,b->a; size_dict={'a': 2, 'b': 2};
i=33; b,ba->a; size_dict={'a': 2, 'b': 2};
i=34; ba,a->b; size_dict={'a': 2, 'b': 2};
i=35; a,ba->ba; size_dict={'a': 2, 'b': 2};
i=36; b,a->b; size_dict={'a': 2, 'b': 2};
i=37; aa,a->; size_dict={'a': 5};
i=38; ab,aab->; size_dict={'a': 2, 'b': 2};
i=39; a,ab->ab; size_dict={'a': 2, 'b': 2};
i=40; a,bb->ab; size_dict={'a': 2, 'b': 2};
i=41; bb,ab->ba; size_dict={'a': 3, 'b': 2};
i=42; a,b->ab; size_dict={'a': 2, 'b': 4};
i=43; a,bc->acb; size_dict={'a': 2, 'b': 2, 'c': 2};
i=44; ac,cab->b; size_dict={'a': 2, 'b': 2, 'c': 2};
i=45; ab,a->a; size_dict={'a': 4, 'b': 2};
i=46; ab,c->cab; size_dict={'a': 2, 'b': 2, 'c': 2};
i=47; ba,a->; size_dict={'a': 2, 'b': 4};
i=48; ac,bac->b; size_dict={'a': 2, 'b': 2, 'c': 2};
i=49; bb,a->b; size_dict={'a': 2, 'b': 3};
i=50; ab,->ab; size_dict={'a': 3, 'b': 2};
i=51; bc,aa->abc; size_dict={'a': 2, 'b': 2, 'c': 2};
i=52; ba,ab->; size_dict={'a': 3, 'b': 2};
i=53; a,ba->; size_dict={'a': 3, 'b': 2};
i=54; ba,bc->ca; size_dict={'a': 2, 'b': 2, 'c': 2};
i=55; a,cb->a; size_dict={'a': 2, 'b': 2, 'c': 2};
i=56; ab,c->abc; size_dict={'a': 2, 'b': 2, 'c': 2};
i=57; bab,->ab; size_dict={'a': 4, 'b': 2};
i=58; ,ba->ab; size_dict={'a': 4, 'b': 2};
i=59; bba,ac->bc; size_dict={'a': 2, 'b': 2, 'c': 2};
i=60; a,ab->ba; size_dict={'a': 2, 'b': 4};
i=61; ba,abc->ca; size_dict={'a': 2, 'b': 2, 'c': 2};
i=62; acb,ab->c; size_dict={'a': 2, 'b': 2, 'c': 2};
i=63; aab,a->; size_dict={'a': 4, 'b': 2};
i=64; b,ba->; size_dict={'a': 2, 'b': 4};
i=65; bca,a->b; size_dict={'a': 2, 'b': 2, 'c': 2};
i=66; ,a->; size_dict={'a': 8};
i=67; bc,acb->ac; size_dict={'a': 2, 'b': 2, 'c': 2};
i=68; ba,ba->b; size_dict={'a': 2, 'b': 5};
i=69; aa,->a; size_dict={'a': 11};
i=70; ba,ac->cb; size_dict={'a': 2, 'b': 2, 'c': 2};
i=71; c,cba->abc; size_dict={'a': 2, 'b': 2, 'c': 2};
i=72; ,ab->ab; size_dict={'a': 3, 'b': 3};
i=73; ab,cbc->ca; size_dict={'a': 2, 'b': 2, 'c': 2};
i=74; cba,cb->a; size_dict={'a': 2, 'b': 2, 'c': 2};
i=75; b,aab->ba; size_dict={'a': 3, 'b': 3};
i=76; ,bac->acb; size_dict={'a': 2, 'b': 2, 'c': 2};
i=77; aa,ba->ba; size_dict={'a': 4, 'b': 2};
i=78; c,ab->bca; size_dict={'a': 2, 'b': 2, 'c': 2};
i=79; ac,bca->b; size_dict={'a': 2, 'b': 2, 'c': 2};
i=80; bc,a->acb; size_dict={'a': 2, 'b': 2, 'c': 2};
i=81; ab,aba->; size_dict={'a': 2, 'b': 5};
i=82; b,ba->ba; size_dict={'a': 5, 'b': 2};
i=83; ba,bca->c; size_dict={'a': 2, 'b': 2, 'c': 2};
i=84; ba,aab->; size_dict={'a': 3, 'b': 3};
i=85; aa,b->ba; size_dict={'a': 5, 'b': 2};
i=86; b,aab->a; size_dict={'a': 3, 'b': 3};
i=87; ba,->a; size_dict={'a': 5, 'b': 2};
i=88; ,aba->ba; size_dict={'a': 2, 'b': 5};
i=89; ba,abb->; size_dict={'a': 5, 'b': 2};
i=90; caba,cb->a; size_dict={'a': 2, 'b': 2, 'c': 2};
i=91; c,badc->dab; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2};
i=92; cb,ab->ba; size_dict={'a': 2, 'b': 4, 'c': 2};
i=93; adc,bacd->bd; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2};
i=94; aab,->ba; size_dict={'a': 7, 'b': 2};
i=95; ac,acb->b; size_dict={'a': 2, 'b': 2, 'c': 4};
i=96; acbd,cdc->ab; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2};
i=97; ab,cb->cb; size_dict={'a': 2, 'b': 2, 'c': 3};
i=98; bdc,ac->dba; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2};
i=99; a,cab->cb; size_dict={'a': 2, 'b': 4, 'c': 2};
i=100; c,cba->acb; size_dict={'a': 2, 'b': 4, 'c': 2};
i=101; ca,cb->ba; size_dict={'a': 2, 'b': 2, 'c': 3};
i=102; ad,bc->abc; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2};
i=103; ba,b->; size_dict={'a': 5, 'b': 3};
i=104; ca,ccab->a; size_dict={'a': 2, 'b': 3, 'c': 2};
i=105; ab,a->ba; size_dict={'a': 2, 'b': 6};
i=106; abb,ba->; size_dict={'a': 2, 'b': 6};
i=107; b,acbdc->adb; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2};
i=108; bac,a->ac; size_dict={'a': 2, 'b': 2, 'c': 3};
i=109; bc,ca->cba; size_dict={'a': 4, 'b': 2, 'c': 2};
i=110; c,dba->acdb; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2};
i=111; b,aa->ba; size_dict={'a': 5, 'b': 3};
i=112; acdb,cd->cdab; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2};
i=113; ab,cb->ba; size_dict={'a': 2, 'b': 2, 'c': 4};
i=114; b,ba->b; size_dict={'a': 8, 'b': 2};
i=115; bb,cba->ca; size_dict={'a': 2, 'b': 3, 'c': 2};
i=116; cab,ba->cb; size_dict={'a': 2, 'b': 3, 'c': 2};
i=117; a,bac->bc; size_dict={'a': 4, 'b': 2, 'c': 2};
i=118; c,aabc->bc; size_dict={'a': 2, 'b': 4, 'c': 2};
i=119; cb,acb->ca; size_dict={'a': 4, 'b': 2, 'c': 2};
i=120; a,bc->abc; size_dict={'a': 4, 'b': 2, 'c': 2};
i=121; bc,bca->a; size_dict={'a': 2, 'b': 2, 'c': 4};
i=122; acd,ba->bcd; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2};
i=123; ca,bc->ba; size_dict={'a': 2, 'b': 4, 'c': 2};
i=124; cbb,ca->b; size_dict={'a': 4, 'b': 2, 'c': 2};
i=125; bca,ba->ac; size_dict={'a': 3, 'b': 2, 'c': 2};
i=126; b,bba->a; size_dict={'a': 7, 'b': 2};
i=127; accb,->cba; size_dict={'a': 2, 'b': 3, 'c': 2};
i=128; abb,->ab; size_dict={'a': 6, 'b': 2};
i=129; ,ba->b; size_dict={'a': 2, 'b': 11};
i=130; ab,cd->acb; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2};
i=131; bdcb,ab->cda; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2};
i=132; cab,->b; size_dict={'a': 5, 'b': 2, 'c': 2};
i=133; bca,a->c; size_dict={'a': 2, 'b': 2, 'c': 5};
i=134; daa,cdab->b; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2};
i=135; ac,cbc->ba; size_dict={'a': 5, 'b': 2, 'c': 2};
i=136; ab,ca->c; size_dict={'a': 3, 'b': 2, 'c': 3};
i=137; a,acb->bca; size_dict={'a': 2, 'b': 2, 'c': 5};
i=138; ba,ca->cb; size_dict={'a': 3, 'b': 3, 'c': 2};
i=139; ab,cb->ac; size_dict={'a': 3, 'b': 2, 'c': 3};
i=140; bbcc,ab->ca; size_dict={'a': 5, 'b': 2, 'c': 2};
i=141; bc,caba->b; size_dict={'a': 2, 'b': 3, 'c': 3};
i=142; bcd,cad->ba; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2};
i=143; cca,bc->abc; size_dict={'a': 5, 'b': 2, 'c': 2};
i=144; ab,ba->b; size_dict={'a': 11, 'b': 2};
i=145; cb,adb->dc; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2};
i=146; ca,b->abc; size_dict={'a': 3, 'b': 2, 'c': 3};
i=147; ca,ba->cb; size_dict={'a': 2, 'b': 5, 'c': 2};
i=148; abc,a->cb; size_dict={'a': 2, 'b': 2, 'c': 5};
i=149; bac,b->bca; size_dict={'a': 5, 'b': 2, 'c': 2};
i=150; ca,bca->b; size_dict={'a': 5, 'b': 2, 'c': 2};
